VIDEO_LENGTH_MIN,THUMBNAIL_CTR_PCT,UPLOAD_HOUR,EDITING_HOURS,SUBSCRIBER_COUNT_K,TAGS_COUNT,VIEWS_K
15.0,10.47,22,6.4,38.4,3,159.1
12.9,3.7,16,2.5,6.6,16,39.5
7.3,9.4,16,4.5,41.8,15,145.1
9.4,8.93,1,9.0,155.1,13,318.1
7.4,5.63,8,6.5,36.2,7,129.3
4.1,3.51,11,8.4,23.3,15,114.0
14.7,4.62,19,6.8,79.5,8,168.9
8.2,4.14,22,8.9,8.1,5,129.2
8.7,5.79,17,3.0,4.5,27,58.4
4.7,6.66,17,2.1,18.1,19,114.1
12.5,4.39,13,7.4,42.0,23,104.7
9.4,7.31,16,10.8,43.1,28,190.3
7.0,0.75,6,12.6,28.3,11,67.1
16.8,6.54,14,7.5,24.0,6,112.9
10.5,7.74,18,3.8,8.2,7,101.6
10.9,3.71,13,5.9,15.1,27,91.6
16.4,10.3,22,2.0,53.8,10,176.5
6.8,4.11,16,4.9,24.2,25,126.3
16.9,8.55,3,4.4,30.7,25,114.0
17.4,7.11,5,1.2,10.7,26,65.5
12.0,8.01,17,6.1,131.6,18,288.9
16.6,7.59,0,2.9,3.1,14,103.8
11.9,9.86,2,2.7,21.1,21,115.1
6.8,5.61,4,8.5,6.7,10,95.5
17.8,6.23,21,6.9,14.8,23,70.9
13.3,5.05,23,1.4,59.7,15,134.7
16.1,5.79,8,1.0,106.0,21,223.0
26.0,4.13,10,5.5,32.4,17,107.8
5.1,4.89,2,1.8,14.1,6,26.2
10.4,1.99,20,8.0,7.1,19,17.6
20.3,5.44,15,2.2,54.5,19,136.6
7.1,4.03,18,7.2,2.5,27,23.1
11.9,11.48,14,3.4,20.3,15,141.7
17.2,6.02,1,6.7,4.3,3,40.9
20.0,9.26,19,1.2,22.7,28,65.0
13.0,6.32,18,4.1,57.2,26,142.0
5.4,5.22,23,7.4,5.7,19,95.5
5.9,5.71,21,2.0,5.1,16,42.0
8.3,8.56,21,1.3,44.8,24,142.0
8.3,10.0,21,1.9,10.9,24,93.0
7.8,2.89,18,1.5,9.7,18,47.9
5.0,6.69,19,4.0,182.8,12,384.5
11.1,3.77,16,5.4,20.9,8,135.3
9.2,6.04,4,10.6,26.6,17,129.9
12.9,6.93,6,0.8,11.5,3,76.8
5.3,3.16,3,9.1,270.2,15,515.1
8.0,8.1,9,3.8,23.8,15,114.0
14.6,6.33,18,2.1,30.1,7,104.8
15.8,8.47,19,1.3,18.8,7,54.9
19.5,5.02,13,1.3,63.1,26,142.1
16.0,7.78,16,5.5,121.4,8,289.7
39.8,7.84,11,9.1,41.1,23,137.6
8.8,8.13,21,7.1,3.1,24,54.8
17.1,5.86,17,1.5,7.2,6,50.1
14.3,5.79,5,2.8,43.0,8,120.9
31.3,7.1,9,7.7,164.3,17,331.6
15.6,1.92,13,4.8,15.2,24,41.1
15.0,5.34,14,10.7,111.5,14,244.1
16.3,4.65,1,2.4,127.8,29,245.8
21.3,4.67,10,4.9,6.4,8,1.0
5.4,4.7,12,6.9,2.1,28,70.8
12.1,6.56,18,4.0,31.8,18,133.6
10.9,6.6,0,5.4,12.0,4,122.7
10.1,5.03,2,0.5,24.0,26,71.3
18.3,6.53,6,1.0,19.6,14,30.6
13.6,6.78,3,0.6,10.5,10,76.8
3.5,5.37,11,3.5,17.2,24,109.8
9.1,9.84,23,7.9,87.6,12,261.6
4.1,4.54,21,6.3,36.5,4,115.1
24.1,6.9,6,3.7,14.2,19,69.8
12.4,6.39,0,9.3,4.1,9,129.1
26.5,6.46,14,3.6,11.7,22,73.1
13.9,5.51,13,6.2,30.1,5,94.3
11.6,7.46,0,5.4,126.6,4,311.6
9.0,4.94,14,2.4,28.6,13,61.2
13.2,5.26,18,2.8,31.6,19,111.6
26.7,4.6,2,2.6,67.1,23,90.0
17.9,11.34,18,7.2,20.9,14,109.8
24.0,3.9,5,1.1,23.7,7,71.4
4.2,5.22,17,4.2,74.9,5,163.0
9.4,6.71,12,5.8,20.0,9,115.4
12.6,7.28,18,6.5,5.5,27,91.8
10.5,9.69,23,4.9,8.1,4,92.6
7.4,4.91,1,11.6,11.5,11,47.0
11.4,6.88,16,5.3,13.8,21,84.4
9.7,7.16,1,8.4,17.3,4,79.9
11.7,8.66,23,2.3,29.8,7,127.6
11.8,1.19,15,5.6,15.9,13,3.6
8.3,8.09,2,19.3,17.4,11,142.9
15.2,6.16,3,1.2,23.8,24,72.9
6.8,3.04,23,6.9,7.3,8,38.6
28.8,2.77,0,0.8,51.6,17,48.1
10.4,5.18,2,8.5,8.8,7,102.1
15.1,5.05,9,5.4,76.5,10,205.4
13.0,12.6,12,6.6,41.4,12,195.2
7.3,5.87,18,6.7,24.3,13,148.9
13.1,5.29,21,2.7,72.4,21,150.7
22.7,5.47,20,7.2,23.3,21,38.4
3.1,7.9,16,2.6,23.0,7,116.8
15.4,7.37,10,5.5,17.9,5,64.8
30.1,5.05,22,1.0,10.3,25,6.5
10.9,5.77,21,4.3,81.1,6,242.2
19.7,9.1,10,5.4,25.3,19,108.7
19.1,3.97,20,1.9,51.0,10,81.9
12.2,3.5,4,7.8,51.9,15,116.5
16.7,1.64,10,3.7,14.1,22,39.4
12.8,8.37,6,4.4,185.2,25,442.6
16.2,6.44,3,2.3,43.1,22,112.3
8.7,2.51,14,3.1,56.1,14,125.6
16.1,8.04,16,1.1,2.9,8,41.3
17.5,6.25,15,4.9,72.5,5,279.7
16.8,2.65,19,6.3,61.5,26,105.8
9.0,10.5,4,1.5,2.0,26,111.2
7.4,2.63,23,6.6,45.4,6,118.3
17.4,3.1,6,2.7,40.1,27,43.7
11.7,3.76,18,3.2,90.6,23,177.2
26.1,7.36,18,4.1,19.5,27,58.5
16.6,8.68,18,0.7,2.6,21,49.3
10.6,4.34,21,4.2,43.6,28,168.7
32.4,7.07,14,5.1,18.7,8,47.1
23.3,5.32,18,1.1,60.9,29,156.7
8.9,4.35,11,1.0,77.7,4,165.4
30.0,4.46,2,1.6,16.2,13,22.2
6.7,7.73,1,2.8,14.6,26,48.5
17.6,2.47,11,4.2,1.1,3,19.3
9.0,7.98,15,5.7,97.1,7,287.8
8.6,5.45,21,11.1,85.1,24,237.1
13.3,5.05,7,2.2,68.0,5,178.1
15.4,4.82,7,2.2,38.6,19,89.0
9.8,4.12,0,3.1,16.9,7,37.9
24.1,5.45,17,4.3,92.4,15,225.4
16.8,3.48,7,2.1,10.1,24,21.3
20.7,6.42,22,3.9,18.8,28,76.2
8.7,11.32,9,5.6,47.1,19,230.0
20.5,5.52,17,6.1,19.0,12,70.2
6.5,7.9,11,3.2,32.4,23,108.6
24.1,8.17,22,6.8,42.7,7,132.9
5.6,8.56,19,2.9,65.4,12,227.9
8.2,5.87,12,3.9,1.7,10,4.3
7.0,4.81,23,8.4,35.7,10,112.5
9.2,10.12,17,1.5,3.2,26,112.6
5.4,4.95,13,7.7,149.1,13,313.1
4.3,9.85,4,1.9,22.3,13,158.5
10.0,9.61,14,4.8,28.7,21,105.5
16.0,7.46,21,5.8,68.6,10,212.1
13.8,6.63,19,9.3,71.1,19,201.4
12.3,5.43,9,11.1,2.5,17,63.4
13.7,6.28,17,1.8,112.4,4,244.0
5.3,4.13,10,2.1,34.8,18,105.8
15.5,7.83,4,12.5,107.3,27,256.9
14.1,3.56,0,5.3,53.8,17,144.8
26.0,5.02,3,2.6,2.8,17,23.7
16.6,5.33,5,3.8,3.4,17,43.4
21.1,5.95,9,10.5,66.4,18,160.8
9.0,2.57,8,5.1,32.4,14,116.3
5.7,5.87,11,4.5,6.9,25,92.8
18.6,6.51,12,2.3,31.7,22,84.1
11.9,4.9,18,3.3,5.8,8,53.6
17.4,4.23,21,8.6,80.8,16,226.6
31.6,5.46,2,7.3,11.2,20,41.5
24.9,6.11,4,4.0,86.2,11,187.8
16.7,7.05,13,4.4,6.0,29,83.1
11.4,7.5,10,3.6,133.7,6,274.2
16.9,3.54,11,3.1,144.6,3,272.7
11.6,7.68,13,6.7,10.1,7,87.3
7.3,6.54,18,3.8,19.2,19,90.4
19.2,9.48,0,1.9,53.9,21,152.2
15.6,6.09,21,1.9,18.9,14,140.9
4.8,6.35,23,2.9,143.5,16,331.8
22.8,3.96,23,1.8,44.9,25,86.9
25.3,5.08,20,4.1,31.6,17,116.7
7.9,3.85,22,4.5,67.4,13,148.8
7.6,5.85,17,0.8,30.6,8,90.5
4.8,5.67,3,10.9,11.9,17,102.5
9.0,6.29,2,5.5,34.2,5,79.8
10.0,10.64,19,6.9,15.5,7,141.7
8.9,3.07,11,1.4,44.4,12,68.6
15.7,7.16,4,5.7,27.4,3,115.7
13.6,6.64,15,2.9,53.4,8,151.6
32.6,7.85,13,6.9,83.9,7,196.7
6.9,6.95,19,2.2,31.5,11,117.5
8.5,4.65,13,6.7,16.0,19,116.7
12.4,6.98,10,3.5,44.6,14,110.3
9.8,3.04,3,1.9,15.8,17,51.9
17.8,2.88,20,3.8,71.5,28,140.5
14.5,3.32,10,9.0,104.5,18,216.0
9.0,6.14,4,3.6,87.1,28,188.4
18.5,5.95,16,3.3,9.1,20,40.5
18.0,6.35,17,6.1,28.9,15,105.4
21.4,7.54,12,8.3,56.9,25,190.0
8.0,4.31,20,4.0,3.4,19,0.1
15.0,2.2,1,7.8,33.0,18,88.0
12.7,11.2,7,7.1,67.6,23,246.7
9.5,9.52,15,3.7,117.5,22,309.8
20.2,3.04,11,0.8,47.2,8,83.7
29.1,7.1,1,3.3,8.4,27,44.9
27.3,2.37,15,9.2,77.5,19,180.5
7.0,8.56,14,4.0,21.8,22,133.1
21.7,8.83,23,3.4,23.0,5,75.2
15.0,7.97,12,5.4,68.6,3,128.4
8.2,6.52,0,5.8,3.9,13,50.8
21.1,10.16,22,0.9,69.7,10,195.7
11.9,5.4,18,7.5,16.2,10,65.2
12.7,3.47,9,2.2,12.4,18,68.3
20.3,5.24,7,3.9,4.2,12,22.7
14.2,5.07,1,7.5,3.4,3,84.3
6.8,8.9,11,4.8,66.9,6,193.4
8.0,6.03,13,5.4,20.6,3,76.6
9.5,8.99,18,1.6,5.3,7,78.3
11.4,3.0,10,2.6,18.6,25,59.1
16.6,10.95,11,7.3,1.3,25,144.5
13.6,8.36,13,2.3,8.7,25,64.0
6.5,4.92,11,3.9,7.8,25,56.8
5.3,6.96,2,5.3,40.1,29,152.0
10.7,6.52,16,4.4,58.3,17,165.1
17.1,6.03,5,6.1,88.1,7,181.3
6.9,4.44,21,9.5,1.8,12,68.4
13.4,6.89,0,15.5,26.6,24,112.1
36.0,6.9,21,2.0,16.4,22,40.2
7.6,6.71,9,1.6,2.9,8,9.2
22.5,4.63,10,4.6,6.1,25,21.4
10.9,2.73,9,1.1,3.3,13,34.7
13.7,0.5,4,4.7,5.7,6,17.8
7.6,4.43,7,6.6,35.7,6,93.6
29.9,7.2,21,4.8,6.8,12,36.8
5.1,5.71,5,4.3,44.7,14,133.1
10.0,7.92,7,3.7,86.3,14,245.5
13.5,6.78,18,2.2,7.0,16,76.6
8.2,7.34,7,7.0,8.8,12,102.0
5.8,1.15,7,6.2,1.6,28,25.6
44.4,10.0,0,2.2,7.1,3,25.6
11.5,8.34,8,3.0,31.3,9,99.8
19.9,8.02,10,0.8,16.1,26,93.6
25.1,4.57,19,0.6,46.7,18,107.0
11.0,8.25,17,2.3,19.3,10,140.8
9.9,4.61,7,2.6,14.7,28,30.0
4.6,4.98,16,6.1,2.4,15,17.8
25.1,2.28,15,3.5,15.2,22,0.1
22.4,3.56,11,1.5,1.5,13,26.6
14.4,3.41,15,8.0,48.0,19,112.4
40.5,6.67,23,6.3,8.6,16,0.1
7.0,10.09,19,5.5,83.5,24,259.3
24.5,9.5,12,2.0,21.1,16,122.1
8.5,6.12,14,4.0,4.0,28,9.0
5.4,2.7,14,3.8,4.0,11,47.7
12.7,7.55,22,2.3,23.8,26,138.9
5.3,7.0,17,1.5,7.7,20,43.5
11.5,3.99,11,7.5,12.6,10,125.3
8.0,6.7,5,4.1,85.8,24,251.3
9.2,7.56,7,11.0,6.2,13,124.9
8.1,4.75,5,7.8,31.1,18,114.3
9.0,9.17,21,4.6,41.9,29,190.9
21.6,9.77,20,0.5,73.0,20,162.3
20.0,9.07,3,5.9,44.7,7,188.0
12.7,5.66,22,2.8,3.4,19,63.8
9.2,11.81,18,2.8,87.6,24,261.1
12.6,4.41,21,9.9,1.6,10,66.3
7.8,8.14,12,8.1,1.4,14,84.7
19.5,9.16,17,2.7,15.5,27,67.1
14.2,9.42,22,1.8,29.2,9,144.0
12.6,5.95,13,4.3,34.1,20,123.0
13.2,1.27,18,4.6,53.7,12,86.5
3.6,2.78,13,11.2,3.5,10,67.3
5.7,2.02,21,1.1,5.7,23,0.1
8.8,7.07,16,3.8,22.5,7,109.6
20.2,4.76,5,0.7,18.3,10,50.4
9.0,6.16,9,6.4,49.1,7,117.0
17.8,5.91,22,4.5,2.1,18,48.8
15.4,2.84,23,2.0,2.1,4,34.3
12.0,1.54,12,11.4,1.6,3,49.2
6.3,8.33,21,11.4,7.5,5,111.0
5.0,6.25,21,1.5,1.1,21,89.5
10.7,8.0,22,4.9,20.3,12,106.8
19.4,5.9,10,4.5,8.9,6,9.0
4.4,10.3,11,1.3,2.1,22,116.5
38.0,8.43,2,6.0,18.4,25,77.7
11.8,8.05,6,7.8,7.9,12,116.9
34.8,4.15,16,6.0,51.8,29,91.3
9.3,5.67,9,6.8,65.2,29,184.3
5.5,9.11,3,6.2,3.4,26,69.8
5.2,6.24,16,2.8,25.3,11,123.4
16.6,3.51,3,5.5,33.2,23,77.8
7.3,7.11,14,1.2,89.8,14,243.1
13.2,5.42,1,4.1,20.6,29,79.4
10.1,7.98,21,1.8,15.4,5,61.9
10.4,8.14,7,3.9,36.2,6,127.9
5.1,6.62,23,0.8,45.7,25,122.7
17.9,5.43,21,9.0,67.8,7,178.3
5.9,6.38,20,7.4,5.1,21,81.1
5.8,7.26,12,10.4,69.0,8,250.1
6.5,8.9,11,3.1,75.2,25,221.2
5.6,4.21,2,7.1,7.6,25,93.4
15.4,7.23,4,4.7,59.3,16,174.7
15.8,6.14,13,10.0,34.7,28,99.8
15.0,7.61,8,2.8,184.8,5,384.5
11.8,8.7,6,8.9,17.8,19,156.0
9.0,8.16,19,11.3,60.7,22,174.9
29.5,5.24,15,1.8,25.4,5,55.2
9.5,4.17,15,3.4,56.0,3,139.4
8.7,9.33,2,1.9,56.1,26,190.2
6.8,8.26,19,7.1,6.4,9,133.4
14.5,7.83,7,9.8,58.2,7,192.8
15.3,8.86,8,6.0,27.2,10,149.2
12.4,6.01,1,7.2,43.9,21,129.2
11.3,6.53,4,7.4,36.5,11,163.7
16.9,8.14,23,4.9,14.0,25,85.4
14.9,6.25,15,10.2,5.3,12,105.7
15.0,3.17,21,4.8,14.2,6,38.2
5.8,6.44,19,8.5,19.8,17,115.2
23.9,9.17,18,0.9,43.3,8,99.2
11.5,7.91,19,3.6,76.7,19,211.2
31.3,8.21,12,2.6,12.9,6,101.9
7.9,3.97,0,3.9,43.2,17,99.1
28.4,3.43,6,11.1,18.1,24,72.6
10.9,6.7,10,2.3,25.7,9,119.6
20.7,2.7,15,4.2,2.4,18,65.8
18.3,5.19,17,3.9,2.0,6,76.1
6.2,7.03,17,4.1,2.2,9,28.4
7.1,2.42,7,3.5,19.3,10,75.1
11.9,8.33,6,1.7,8.3,27,86.4
16.3,10.46,1,7.0,101.9,12,310.8
14.6,5.68,2,2.9,10.4,6,59.7
14.1,5.78,21,1.8,23.2,13,101.6
16.1,8.12,19,9.2,4.9,3,87.0
12.0,6.12,18,3.0,102.3,5,220.7
10.9,7.41,15,5.2,7.1,7,93.3
5.8,4.93,9,8.2,15.7,5,82.6
20.9,7.07,21,4.9,36.5,25,203.1
19.9,7.11,2,13.5,4.2,21,79.4
30.2,8.04,18,11.8,28.1,23,152.6
16.8,7.34,15,5.5,64.7,20,188.1
8.1,4.01,21,3.0,12.1,14,39.5
8.6,7.34,21,5.4,20.0,22,78.0
14.0,8.27,16,3.1,28.8,13,100.2
14.1,4.96,13,3.5,86.8,10,160.6
32.8,4.17,2,3.0,47.9,15,108.9
8.9,3.74,23,4.7,22.7,12,117.4
13.0,3.28,21,3.9,89.5,5,202.8
14.3,8.45,0,5.3,58.3,27,170.5
14.9,7.37,15,4.9,6.2,24,58.9
23.8,7.97,16,3.1,1.4,6,75.3
14.0,7.11,16,6.5,41.4,4,122.6
21.0,4.86,17,3.9,11.2,23,5.2
19.4,4.72,2,3.3,16.9,18,48.9
16.8,10.16,19,2.0,60.3,29,162.5
16.7,3.55,3,10.7,98.2,11,199.0
16.7,9.89,14,2.2,63.2,23,225.3
11.6,6.42,16,2.5,20.2,19,98.4
20.2,6.31,6,5.6,13.3,14,81.9
8.0,11.08,23,1.8,1.1,5,119.5
17.6,5.0,9,4.9,12.7,16,71.1
12.8,5.01,12,2.1,15.9,25,81.7
7.6,6.32,8,3.8,59.6,12,167.4
20.3,5.98,4,6.7,25.2,10,75.0
12.8,9.09,3,11.6,84.3,19,292.4
12.2,6.93,2,10.7,61.2,5,220.8
10.3,5.92,12,5.9,40.3,28,150.6
17.5,9.25,1,3.5,49.8,11,142.9
7.7,7.07,21,0.5,59.5,4,200.8
13.2,3.04,9,3.0,17.0,8,62.9
20.3,5.83,10,11.3,5.4,22,57.6
9.1,5.92,12,2.5,18.6,12,77.6
16.7,8.3,19,7.5,49.0,28,177.5
11.0,5.96,7,3.5,4.9,14,80.3
7.9,6.76,15,2.8,30.1,18,88.3
12.8,6.91,13,6.1,50.7,26,195.9
15.5,2.23,23,1.9,29.6,9,51.2
21.9,4.49,18,2.4,118.1,15,247.6
14.9,4.87,13,8.0,142.9,15,333.7
9.7,2.12,10,5.2,72.3,27,180.0
14.6,3.47,12,7.2,10.9,9,111.1
11.9,4.51,21,3.0,3.0,21,37.2
24.3,5.88,23,5.4,7.2,22,73.3
10.8,5.08,7,5.4,37.0,4,130.1
6.8,5.15,22,6.3,12.9,29,99.0
9.4,9.56,11,2.4,39.5,24,154.3
12.4,8.06,9,6.2,32.8,26,151.5
14.0,3.71,0,2.4,7.5,9,6.2
30.6,6.05,5,2.1,24.9,24,61.8
24.1,6.47,17,2.7,7.2,8,60.1
4.6,5.71,2,9.4,126.1,17,334.8
11.9,9.5,5,6.5,55.2,24,195.0
15.7,8.71,3,6.5,13.4,8,56.3
3.7,1.03,14,5.0,64.2,8,108.7
7.1,5.77,6,5.8,28.6,23,132.0
12.7,6.68,16,6.0,19.9,11,56.5
9.9,6.98,17,8.2,9.0,21,68.7
13.6,8.5,21,1.8,26.5,24,112.3
5.3,4.91,17,5.5,4.2,28,60.4
16.0,4.82,3,4.6,42.0,27,57.8
21.7,5.38,13,7.1,54.3,23,172.1
7.2,6.02,5,8.0,16.9,7,139.8
26.9,5.28,20,5.4,16.4,17,72.5
6.7,3.81,7,1.3,3.1,5,21.6
9.8,4.75,3,4.1,41.8,14,112.5
12.9,1.65,0,4.9,37.7,15,78.6
13.6,7.3,0,3.3,106.4,7,219.5
15.5,8.44,17,1.7,2.7,25,40.2
8.6,2.99,7,8.1,27.8,6,77.4
8.1,8.44,21,1.6,58.0,27,192.0
8.0,7.73,13,2.0,23.7,26,138.4
23.9,3.65,8,4.3,8.2,23,30.6
25.4,9.06,6,2.5,18.3,12,73.4
15.3,11.06,9,1.7,44.2,17,185.8
20.3,9.47,12,12.2,21.6,3,157.0
12.4,8.12,13,9.5,8.9,8,103.5
16.1,8.33,14,4.3,16.7,9,93.8
10.9,2.32,2,3.3,8.3,22,58.4
15.4,4.17,18,4.8,26.3,27,77.5
23.6,7.14,2,5.4,17.2,26,103.9
13.7,5.33,18,2.1,14.3,24,24.0
18.5,5.98,5,0.9,26.4,5,75.5
6.1,7.42,18,2.3,3.2,4,92.9
14.3,3.7,12,1.8,21.1,8,85.8
8.2,3.45,6,2.9,6.2,3,47.7
8.2,4.66,23,11.1,55.0,28,135.0
12.4,4.89,8,4.7,49.8,17,122.7
14.5,4.5,13,3.9,43.9,29,126.8
14.7,5.34,22,5.7,4.4,25,39.7
15.6,1.48,21,9.0,8.8,22,81.8
5.3,5.95,3,1.6,43.0,25,171.1
12.6,7.73,20,3.2,5.5,12,42.3
12.4,3.91,6,1.4,19.7,25,17.5
20.6,4.15,23,13.3,34.6,12,107.2
4.2,4.71,21,5.4,105.6,16,252.1
8.9,7.87,15,2.9,269.3,3,585.8
17.2,7.11,23,4.1,48.3,11,168.4
9.9,4.29,6,6.7,189.3,26,378.7
17.6,6.8,7,8.8,19.5,3,140.3
11.1,4.76,1,3.2,17.9,20,63.2
14.6,5.51,6,1.7,3.9,6,21.4
3.2,6.01,4,4.5,113.3,16,257.4
16.6,8.51,13,10.2,80.8,15,231.0
8.5,7.6,4,2.4,95.3,15,229.3
20.1,7.34,8,2.0,74.3,16,221.0
13.8,12.08,17,7.7,33.5,9,172.9
15.6,7.03,19,5.2,17.0,26,99.2
8.0,6.38,19,2.6,26.6,25,126.1
18.2,3.72,4,2.7,169.7,25,298.0
21.7,7.9,23,4.2,11.4,12,80.5
31.7,6.31,3,3.4,49.4,29,140.6
11.1,5.75,19,6.2,28.4,18,157.0
17.0,6.63,6,6.3,86.4,14,188.0
16.2,3.64,23,3.1,6.0,15,22.5
19.4,4.25,17,8.3,1.7,3,8.8
8.8,2.4,13,7.1,93.4,14,233.3
13.1,8.47,19,2.8,1.5,8,53.2
7.2,4.75,20,6.2,29.9,19,98.0
25.9,4.44,20,7.2,7.2,8,65.8
29.3,5.27,22,6.4,4.6,29,0.1
16.2,6.17,0,2.8,15.2,8,69.0
10.2,7.33,5,2.8,7.0,24,89.8
9.8,6.3,8,12.7,68.5,14,195.3
13.9,6.05,10,2.1,70.1,20,186.0
9.0,6.75,21,11.8,31.5,26,154.1
12.7,5.64,5,1.4,7.9,20,27.1
9.1,6.09,13,1.6,23.0,29,83.5
7.2,6.48,2,1.7,36.6,29,75.7
6.9,5.19,20,1.6,111.6,13,259.9
5.7,2.52,3,4.3,6.2,28,33.7
10.4,3.47,23,6.1,12.9,20,56.9
10.1,7.27,4,3.1,38.2,8,180.0
18.1,3.52,13,5.8,32.0,24,85.3
9.2,4.61,16,3.8,49.7,6,170.4
6.8,7.38,2,7.6,12.2,11,65.0
13.0,7.07,19,4.1,42.3,23,142.1
27.2,6.57,12,3.9,20.6,10,55.5
7.6,8.05,2,4.6,98.7,6,292.8
17.2,1.82,9,4.3,149.9,15,289.7
8.1,4.34,22,11.7,18.7,24,101.4
19.1,4.9,3,6.1,18.3,6,57.1
8.5,7.54,19,1.2,1.5,28,65.5
13.0,5.17,5,4.7,34.8,10,118.4
7.4,4.27,11,4.5,54.5,26,143.6
11.2,2.88,0,6.9,4.8,6,65.4
7.4,6.86,9,4.3,15.9,20,75.7
9.4,9.05,19,6.1,9.9,4,89.8
17.0,8.66,17,3.6,20.1,3,97.1
12.8,7.48,18,5.7,14.4,29,118.3
10.2,5.69,2,3.9,41.6,11,125.6
6.0,4.9,5,3.4,14.0,6,106.6
9.4,2.84,3,3.0,12.6,4,13.5
10.3,3.81,17,3.3,19.6,8,40.9
17.4,6.81,23,7.2,71.3,12,193.6
10.0,2.66,8,5.0,19.4,5,22.2
9.1,10.66,22,6.9,20.7,19,205.5
21.6,3.67,7,6.8,7.8,15,61.0
9.2,9.09,20,2.3,49.8,7,169.1
5.1,1.14,5,3.6,2.6,3,17.4
8.9,4.92,14,5.0,57.7,14,162.6
12.9,6.29,4,7.6,23.6,12,161.2
17.9,9.03,10,1.3,8.4,6,70.7
6.5,8.6,12,3.5,12.1,25,116.4
19.9,8.75,2,2.4,50.8,24,110.0
17.2,9.8,9,2.1,40.4,14,152.9
17.2,8.57,7,4.7,63.1,24,203.0
11.3,6.69,21,6.3,42.9,14,141.0
8.5,4.07,12,5.2,47.1,19,107.1
13.9,7.48,3,6.9,187.1,24,450.2
20.9,6.5,19,6.6,1.6,18,70.0
6.4,2.7,15,4.8,15.2,9,74.1
6.0,5.92,20,1.4,80.9,19,168.8
4.7,2.16,20,6.1,8.1,13,33.3
7.0,8.8,11,3.5,11.6,29,91.3
4.1,1.95,4,2.6,117.1,8,250.3
7.5,8.03,8,2.6,20.4,24,130.4
4.7,8.25,12,2.9,37.0,24,188.6
12.5,6.3,4,0.9,61.0,13,138.2
14.0,4.82,12,12.5,67.0,22,175.4
22.2,6.84,4,2.1,61.5,15,111.1
22.3,5.92,4,1.7,8.6,13,38.0
6.6,5.74,4,3.2,67.4,27,205.4
14.9,4.34,2,4.8,14.9,16,47.0
20.4,6.89,1,7.7,22.8,29,63.2
21.4,5.31,3,5.7,6.0,9,115.7
14.5,4.14,13,7.9,41.8,17,101.9
10.4,4.85,1,3.6,1.3,26,54.9
