GPU_VRAM_GB,RAM_GB,RESOLUTION_PX,HOURS_PLAYED_WEEK,PING_MS,AVG_FPS
12,32,2073600,16.0,74,105
12,32,2073600,1.9,65,82
10,8,2073600,11.0,41,31
6,32,2073600,8.4,57,22
12,32,2073600,2.9,36,103
6,16,3686400,3.4,53,20
12,16,2073600,11.8,33,90
10,32,2073600,1.2,48,59
8,16,3686400,25.9,85,20
10,32,3686400,1.4,60,48
10,32,2073600,2.4,75,60
8,32,2073600,9.2,30,46
12,16,3686400,2.0,31,23
8,16,8294400,49.5,44,20
16,16,2073600,5.5,56,127
12,16,3686400,1.6,41,42
4,32,2073600,2.4,65,20
10,64,3686400,7.3,34,61
8,16,2073600,17.3,72,49
12,8,2073600,3.4,64,87
10,8,3686400,5.1,23,20
8,16,3686400,7.7,57,20
16,32,2073600,9.4,41,113
4,16,2073600,11.3,65,20
10,16,8294400,4.1,34,20
8,16,3686400,4.7,51,20
4,32,3686400,17.5,56,20
12,16,3686400,19.9,5,35
10,8,2073600,5.3,7,60
16,16,2073600,46.4,48,125
10,16,8294400,2.5,42,20
8,16,2073600,14.9,65,27
24,32,8294400,20.2,50,42
6,32,3686400,7.7,20,20
4,8,3686400,10.4,52,20
12,16,2073600,1.5,30,80
8,32,2073600,15.8,40,50
8,64,2073600,10.2,35,56
16,8,3686400,7.9,52,52
8,32,2073600,8.0,17,65
16,8,3686400,2.4,23,54
10,32,2073600,16.0,5,78
8,16,3686400,7.0,88,20
4,64,8294400,8.5,25,20
6,32,3686400,2.5,28,20
24,8,2073600,8.9,22,185
8,32,2073600,3.2,32,39
6,16,2073600,12.5,36,20
8,32,2073600,1.2,57,51
16,8,3686400,2.1,49,58
6,16,2073600,2.9,52,20
12,32,3686400,5.1,33,44
6,16,2073600,17.4,44,20
24,32,2073600,1.1,69,199
10,32,8294400,7.5,45,20
4,32,8294400,1.3,51,20
16,32,2073600,4.8,5,122
8,16,3686400,3.8,55,20
12,8,3686400,2.4,50,21
10,16,2073600,6.2,71,31
4,16,3686400,4.3,5,20
6,8,2073600,3.4,45,20
6,32,2073600,8.6,42,39
6,8,8294400,3.2,47,20
4,8,3686400,29.6,32,20
4,64,2073600,3.3,49,39
16,32,3686400,36.8,59,74
4,16,2073600,2.4,46,25
10,16,8294400,25.0,39,20
6,32,3686400,1.5,40,20
6,32,3686400,1.1,37,20
12,16,2073600,1.8,45,61
16,16,2073600,10.8,30,107
8,32,3686400,3.1,5,20
4,8,2073600,3.6,72,20
24,64,3686400,10.0,9,190
4,16,2073600,1.2,42,20
8,16,2073600,7.2,18,51
10,32,2073600,5.1,39,58
16,8,3686400,2.4,25,86
12,16,8294400,20.4,44,20
10,16,2073600,4.6,28,66
8,16,3686400,3.8,18,20
12,32,2073600,10.5,51,73
16,32,8294400,16.5,71,20
16,16,3686400,3.1,51,75
12,16,2073600,2.1,47,87
4,8,3686400,26.8,23,20
8,16,8294400,5.5,43,20
8,16,2073600,7.1,53,23
10,16,2073600,5.9,31,53
12,32,2073600,15.1,62,88
6,32,3686400,5.5,43,20
12,8,8294400,12.3,51,20
8,16,8294400,6.9,34,20
12,16,2073600,1.7,34,78
6,16,2073600,6.7,49,20
8,16,3686400,16.5,52,21
6,16,3686400,7.1,51,20
6,32,2073600,5.0,24,45
16,16,3686400,1.2,29,49
8,16,8294400,10.7,44,20
16,16,2073600,5.0,7,118
10,16,2073600,4.1,65,54
4,32,3686400,4.7,50,20
12,16,2073600,5.3,45,106
4,64,2073600,4.3,30,20
12,32,2073600,3.8,60,75
4,16,3686400,5.9,39,20
12,16,2073600,1.4,82,96
6,32,2073600,3.0,52,44
8,16,3686400,5.6,14,20
24,8,3686400,18.3,59,125
8,32,3686400,5.5,33,20
12,16,2073600,7.5,34,43
12,32,8294400,18.9,39,20
6,32,2073600,14.1,41,36
12,64,2073600,11.0,49,123
16,32,2073600,8.7,59,110
6,64,3686400,8.2,53,20
10,16,2073600,2.7,29,76
8,16,2073600,2.2,17,39
